id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution,Pantalla,Brand,Family,Model,Clock Speed (GHz),Gpu Brand,Gpu Model,Gpu Type,Storage Type
1007,HP,Notebook,13.3,4,Windows 10,1.32,699.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
476,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,479.0,1920x1200,Touchscreen,Intel,Atom,x5-Z8550,1.44,Intel,HD Graphics 400,Unknown,Flash Storage
475,Asus,Notebook,14.0,8,Windows 10,1.4,941.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD
125,Acer,Notebook,15.6,8,Linux,2.5,879.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD
1154,HP,Ultrabook,14.0,8,Windows 10,1.54,1468.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD
1184,HP,Workstation,15.6,8,Windows 10,2.6,1738.27,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,Quadro M1200,Dedicated,SSD
322,Fujitsu,Notebook,15.6,8,Windows 10,2.2,739.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD
280,Samsung,Ultrabook,15.0,16,Windows 10,1.23,1849.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 940MX,Dedicated,SSD
63,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 940MX,Dedicated,SSD
547,Asus,Gaming,15.6,16,Windows 10,2.1,1899.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD
1293,Lenovo,Notebook,13.3,4,Chrome OS,1.45,459.9,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 510,Unknown,Flash Storage
536,Acer,Notebook,15.6,4,Linux,2.1,390.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD
687,Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD
1023,Dell,Notebook,15.6,8,Linux,2.2,599.9,1920x1080,Full HD,Intel,Core i7,7500U,2.7,AMD,Radeon R5 M430,Dedicated,HDD
210,HP,Notebook,15.6,4,Windows 10,2.1,398.0,1920x1080,Full HD,AMD,A6-Series,9220,2.5,AMD,Radeon R4,Dedicated,HDD
