id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Gpu Type,Resolution_disc,Family_disc,Clock_speed_disc,Modelo_procesador_disc,Gpu_Brand_disc,GPU_model_disc,storage_type_disc
330,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,Dedicated,2,3,4,4,2,2,3
66,Dell,Workstation,15.6,8,Windows 10,1.78,2712.0,Dedicated,6,3,4,4,2,6,3
829,Asus,Notebook,15.6,4,Linux,2.0,389.0,Unknown,2,1,0,0,1,2,1
1129,Acer,Notebook,15.6,4,Windows 10,2.4,559.0,Unknown,0,2,1,1,1,2,1
1197,Lenovo,Notebook,15.6,6,Windows 10,2.4,695.0,Dedicated,2,2,1,1,2,1,3
171,Lenovo,Notebook,15.6,4,Windows 10,2.2,306.0,Unknown,0,0,0,0,1,0,1
233,HP,Notebook,14.0,8,Windows 10,1.95,980.0,Unknown,2,2,1,1,1,2,3
205,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,Dedicated,2,2,1,1,0,1,3
361,Asus,Gaming,15.6,8,Windows 10,2.5,1265.0,Dedicated,2,3,4,4,2,3,3
1250,Lenovo,Notebook,15.6,8,Windows 7,2.32,895.0,Dedicated,2,3,1,3,0,1,2
707,Dell,Notebook,15.6,4,Windows 10,2.18,614.0,Dedicated,0,1,0,0,0,0,1
884,Acer,Notebook,15.6,4,Chrome OS,2.2,359.0,Unknown,2,0,0,0,1,0,0
1071,Lenovo,Notebook,15.6,6,Windows 10,2.2,597.57,Dedicated,2,2,0,0,0,1,3
95,Dell,Notebook,15.6,4,Windows 10,2.2,369.0,Unknown,0,0,1,0,1,0,1
745,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,Unknown,0,0,1,0,1,0,1
899,Acer,Notebook,15.6,4,Linux,2.1,367.0,Unknown,0,1,3,1,1,2,1
313,Asus,Ultrabook,15.6,8,Windows 10,1.7,1049.9,Dedicated,2,3,3,3,2,1,3
1063,MSI,Gaming,15.6,8,Windows 10,2.2,1119.91,Dedicated,2,2,1,2,2,2,3
193,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.3,1094.0,Unknown,2,2,3,1,1,2,3
625,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,Unknown,2,3,2,2,1,2,3
142,HP,Notebook,15.6,8,Windows 10,2.31,1427.0,Unknown,2,3,7,3,1,3,3
243,HP,2 in 1 Convertible,11.6,8,Chrome OS,1.4,495.0,Unknown,0,0,0,0,1,0,0
1214,HP,Notebook,14.0,8,Windows 10,1.48,1268.0,Unknown,2,2,4,3,1,2,3
1047,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,Unknown,0,1,0,0,1,2,1
648,Lenovo,Notebook,15.6,4,No OS,2.2,479.0,Dedicated,2,1,0,0,0,0,1
34,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,Unknown,7,3,0,6,1,6,0
804,HP,Notebook,14.0,4,Windows 7,1.54,1030.99,Unknown,2,2,2,2,1,2,1
872,HP,Notebook,15.6,4,Windows 10,1.86,397.0,Unknown,2,1,0,0,1,2,1
1297,HP,Notebook,15.6,8,Windows 7,1.88,1579.0,Unknown,2,2,2,2,1,2,3
192,Dell,Notebook,15.6,8,Linux,1.98,726.0,Unknown,2,2,1,1,1,2,1
451,HP,Notebook,15.6,4,Windows 10,2.1,347.0,Unknown,0,0,1,0,1,0,1
894,Fujitsu,Notebook,15.6,4,Windows 10,2.3,649.0,Unknown,0,2,2,2,1,2,3
961,Toshiba,Ultrabook,14.0,8,Windows 10,1.47,1725.0,Unknown,2,3,4,5,1,2,3
1168,Lenovo,Ultrabook,14.0,4,Windows 10,1.7,1096.0,Unknown,2,2,2,2,1,2,3
966,Lenovo,Notebook,15.6,8,Windows 10,2.3,1529.0,Unknown,2,3,4,5,1,2,3
794,Mediacom,Notebook,14.0,2,Windows 10,1.4,239.0,Unknown,2,0,0,0,1,0,0
763,Lenovo,Workstation,15.6,8,Windows 10,2.67,1925.0,Dedicated,2,3,4,4,2,6,3
946,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,Unknown,2,1,0,0,1,2,1
1298,Acer,Notebook,15.6,4,Windows 10,2.2,469.0,Dedicated,0,1,0,0,2,0,1
715,Asus,Notebook,14.0,4,Windows 10,1.5,278.0,Unknown,0,0,0,0,1,0,0
762,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,Unknown,2,3,2,2,1,2,3
1101,MSI,Gaming,15.6,8,Windows 10,2.2,1089.0,Dedicated,2,2,1,2,2,2,3
994,HP,Netbook,12.5,8,Windows 10,0.97,1908.0,Unknown,2,3,3,5,1,3,3
528,Dell,Ultrabook,14.0,8,Linux,1.6,1099.0,Unknown,2,3,4,4,1,2,3
926,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,Dedicated,0,3,1,3,2,1,1
791,HP,Notebook,15.6,4,No OS,1.86,345.99,Unknown,0,1,0,0,1,2,1
351,Acer,Notebook,14.0,4,Chrome OS,1.68,349.0,Unknown,0,0,1,0,1,0,0
166,Dell,Notebook,15.6,8,Windows 7,2.09,1062.95,Unknown,2,2,1,3,1,2,3
1196,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,Unknown,0,0,0,0,1,0,1
1056,Dell,Notebook,15.6,8,Windows 10,2.33,844.0,Dedicated,2,2,1,1,0,1,3
909,Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,Dedicated,6,3,7,7,2,7,3
1189,Lenovo,Notebook,15.6,4,Windows 10,2.2,349.0,Dedicated,0,0,0,0,0,0,3
654,MSI,Gaming,17.3,16,Windows 10,3.78,2499.0,Dedicated,2,3,4,4,2,7,3
968,Lenovo,Notebook,15.6,4,Windows 10,2.2,535.0,Unknown,2,2,2,2,1,2,1
1027,HP,Ultrabook,12.5,8,Windows 7,1.26,2296.95,Unknown,2,3,1,3,1,2,3
217,Lenovo,Netbook,11.6,4,Windows 10,1.4,475.0,Unknown,0,0,1,0,1,0,3
1224,Lenovo,Ultrabook,12.5,8,Windows 10,1.36,1584.0,Unknown,2,3,3,3,1,2,3
559,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,Dedicated,2,3,2,2,2,3,3
136,Dell,Ultrabook,13.3,8,Windows 10,1.29,899.0,Unknown,2,2,1,1,1,2,3
420,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,Unknown,2,3,2,2,1,2,1
54,Toshiba,Ultrabook,13.3,32,Windows 10,1.05,2799.0,Unknown,2,3,3,3,1,2,3
788,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,Dedicated,0,1,0,0,0,0,3
628,HP,Notebook,15.6,8,Windows 10,2.2,1099.0,Dedicated,2,2,1,2,2,2,3
1215,Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,Unknown,2,3,2,2,1,2,3
396,Lenovo,Notebook,15.6,4,No OS,1.9,339.0,Unknown,0,1,0,0,1,2,1
1083,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,Unknown,0,0,1,0,1,0,1
20,HP,2 in 1 Convertible,13.3,8,Windows 10,1.28,2277.0,Unknown,2,2,1,1,1,2,3
1263,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,Unknown,2,3,2,2,1,2,3
258,Dell,Gaming,15.6,8,Linux,2.62,929.0,Dedicated,2,3,4,4,2,2,1
159,Dell,Notebook,15.6,4,Windows 10,2.18,558.6,Unknown,0,1,0,0,1,2,1
572,Lenovo,Gaming,15.6,16,Windows 10,2.5,999.0,Dedicated,2,2,0,2,0,2,3
374,Toshiba,Notebook,15.6,8,Windows 10,2.0,860.0,Unknown,2,2,1,1,1,2,1
25,HP,Ultrabook,12.5,8,Windows 7,1.26,1895.0,Unknown,0,2,1,3,1,2,3
345,Lenovo,Gaming,15.6,4,Windows 10,2.4,999.0,Dedicated,2,3,4,4,2,2,1
827,Dell,Netbook,11.6,4,Windows 10,1.63,744.0,Unknown,0,0,0,0,1,0,3
661,HP,Notebook,15.6,8,Windows 10,2.04,889.0,Dedicated,2,2,1,1,2,2,3
102,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,2025.0,Unknown,2,3,3,3,1,2,3
185,Asus,Gaming,17.3,8,Windows 10,2.73,1770.0,Dedicated,2,2,1,2,2,4,3
69,Asus,Notebook,17.3,8,Windows 10,2.69,891.0,Dedicated,2,2,1,1,2,2,3
327,MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,Dedicated,2,3,4,4,2,4,3
439,Acer,Netbook,11.6,4,Chrome OS,1.25,297.0,Unknown,0,0,1,0,1,0,0
662,MSI,Gaming,17.3,16,Windows 10,4.14,2499.0,Dedicated,2,3,4,4,2,7,3
799,Asus,Notebook,15.6,4,Windows 10,2.2,575.0,Dedicated,2,2,1,0,0,0,3
555,HP,Notebook,15.6,4,Windows 10,2.1,722.0,Unknown,2,2,1,1,1,2,1
40,Toshiba,Notebook,14.0,4,Windows 10,1.75,1020.0,Unknown,0,2,2,2,1,2,3
1110,Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,1499.0,Unknown,3,3,1,3,1,2,3
998,HP,Ultrabook,14.0,8,Windows 10,1.36,1750.0,Unknown,2,3,3,3,1,2,3
500,MSI,Gaming,17.3,8,Windows 10,2.9,1511.19,Dedicated,2,3,4,4,2,2,3
734,Dell,Ultrabook,13.3,8,Windows 10,1.23,1869.0,Unknown,3,2,1,1,1,2,3
974,Lenovo,Notebook,14.0,8,Windows 10,1.7,1364.0,Unknown,2,2,1,1,1,2,3
117,HP,2 in 1 Convertible,13.3,4,Windows 10,1.28,1799.0,Unknown,2,2,1,1,1,2,3
392,HP,Notebook,15.6,4,Windows 10,2.04,769.99,Unknown,0,1,1,0,1,2,3
1060,Dell,Notebook,15.6,16,Windows 10,2.2,1219.24,Dedicated,2,3,2,2,0,1,3
613,Asus,Notebook,15.6,8,Windows 10,2.37,1099.0,Unknown,2,2,1,1,1,2,3
711,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,Unknown,2,3,2,2,1,2,3
1245,Dell,Notebook,15.6,4,Windows 10,2.18,547.0,Unknown,0,1,1,0,1,2,3
639,Asus,Ultrabook,14.0,8,Windows 10,1.1,1873.0,Unknown,2,3,3,3,1,2,3
9,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,Dedicated,2,2,1,1,2,2,3
1213,Lenovo,Notebook,15.6,4,No OS,1.9,450.0,Unknown,0,1,0,0,1,2,1
535,Dell,Gaming,15.6,8,Windows 10,2.62,1159.0,Dedicated,2,3,4,4,2,3,3
155,Dell,Ultrabook,13.3,8,Linux,1.23,1099.0,Unknown,3,2,1,3,1,2,3
1074,HP,Notebook,17.3,8,Windows 10,2.63,1280.0,Dedicated,2,3,3,3,2,2,1
472,Dell,2 in 1 Convertible,11.6,4,Windows 10,1.39,603.0,Unknown,0,3,1,1,1,4,3
47,Lenovo,Notebook,17.3,4,No OS,2.8,529.0,Unknown,2,1,0,0,1,2,1
5,HP,Notebook,17.3,8,Windows 10,2.5,928.0,Unknown,2,2,1,1,1,2,3
466,Asus,Notebook,15.6,4,Windows 10,2.0,435.0,Unknown,0,1,1,0,1,2,1
712,HP,Notebook,14.0,8,Windows 10,1.63,812.0,Unknown,2,2,1,1,1,2,1
212,Acer,Notebook,14.0,8,Windows 10,1.5,619.0,Unknown,2,1,1,0,1,2,3
1067,HP,Notebook,15.6,8,No OS,1.86,575.0,Unknown,2,2,1,1,1,2,3
785,HP,Notebook,15.6,8,Windows 10,2.04,389.0,Unknown,0,0,1,0,1,0,1
332,Dell,Notebook,15.6,8,Windows 10,1.95,810.0,Unknown,0,2,1,1,1,2,3
1199,MSI,Gaming,15.6,16,Windows 10,2.94,2267.86,Dedicated,2,3,4,4,2,7,3
412,Dell,Notebook,15.6,8,Windows 10,2.0,1829.0,Dedicated,2,3,4,4,2,2,3
200,HP,Ultrabook,14.0,8,Windows 10,1.43,1500.0,Unknown,2,3,1,3,1,2,3
509,Toshiba,Notebook,15.6,8,Windows 10,2.0,943.0,Unknown,2,2,1,1,1,2,3
411,MSI,Gaming,15.6,8,Windows 10,2.2,1149.0,Dedicated,2,3,4,4,2,2,3
627,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1950.0,Unknown,2,3,3,3,1,2,3
1088,Lenovo,Notebook,15.6,12,Windows 10,2.2,899.0,Dedicated,2,2,0,0,0,1,1
881,Dell,Notebook,15.6,4,Windows 10,1.95,729.9,Unknown,0,2,2,2,1,2,1
914,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,1899.0,Unknown,3,3,4,5,1,4,3
690,Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,Unknown,0,2,1,1,1,2,3
111,HP,Notebook,15.6,8,Windows 10,1.9,1154.0,Dedicated,2,2,1,1,0,3,1
26,HP,Notebook,15.6,8,Windows 10,2.04,979.0,Dedicated,2,2,3,1,2,2,3
375,Dell,Gaming,17.3,16,Windows 10,4.42,2699.0,Dedicated,2,3,4,4,2,7,3
289,HP,Notebook,15.6,12,Windows 10,2.21,1327.0,Dedicated,2,3,4,4,2,2,3
1007,HP,Notebook,13.3,4,Windows 10,1.32,699.0,Unknown,2,2,1,1,1,2,3
476,Lenovo,2 in 1 Convertible,10.1,4,Windows 10,0.69,479.0,Unknown,0,0,0,0,1,0,0
475,Asus,Notebook,14.0,8,Windows 10,1.4,941.0,Unknown,2,2,1,1,1,2,3
125,Acer,Notebook,15.6,8,Linux,2.5,879.0,Dedicated,2,3,4,4,2,2,3
1154,HP,Ultrabook,14.0,8,Windows 10,1.54,1468.0,Unknown,2,3,1,3,1,2,3
1184,HP,Workstation,15.6,8,Windows 10,2.6,1738.27,Dedicated,2,3,4,4,2,6,3
322,Fujitsu,Notebook,15.6,8,Windows 10,2.2,739.0,Unknown,0,2,1,1,1,2,1
280,Samsung,Ultrabook,15.0,16,Windows 10,1.23,1849.0,Dedicated,2,3,3,3,2,1,3
63,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,Dedicated,2,2,1,1,2,1,3
547,Asus,Gaming,15.6,16,Windows 10,2.1,1899.0,Dedicated,2,3,4,4,2,4,3
1293,Lenovo,Notebook,13.3,4,Chrome OS,1.45,459.9,Unknown,0,0,1,0,1,0,0
536,Acer,Notebook,15.6,4,Linux,2.1,390.0,Unknown,0,1,0,0,1,2,1
687,Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,Unknown,0,2,1,1,1,2,3
1023,Dell,Notebook,15.6,8,Linux,2.2,599.9,Dedicated,2,3,3,3,0,0,1
210,HP,Notebook,15.6,4,Windows 10,2.1,398.0,Dedicated,2,0,1,0,0,0,1
657,Dell,Notebook,15.6,8,Windows 10,1.9,1008.52,Unknown,0,2,4,3,1,2,1
671,Asus,Gaming,15.6,8,Windows 10,2.3,1655.0,Dedicated,2,3,4,4,2,4,3
194,Lenovo,Notebook,15.6,4,Windows 10,2.3,977.0,Dedicated,2,2,2,2,2,2,1
672,HP,Notebook,14.0,8,Windows 10,1.48,1292.0,Unknown,2,3,3,3,1,2,3
1152,Acer,Notebook,15.6,4,Windows 10,2.23,619.0,Unknown,0,2,1,1,1,2,1
201,MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,Dedicated,2,3,4,4,2,4,3
792,Acer,Notebook,14.0,8,Windows 10,2.1,389.0,Unknown,0,1,0,0,1,2,1
306,Lenovo,Ultrabook,14.0,16,Windows 10,1.14,2450.0,Unknown,2,3,3,3,1,2,3
828,Dell,Notebook,15.6,16,Windows 10,2.3,859.01,Dedicated,2,3,3,3,0,1,1
1055,HP,Netbook,12.5,8,Windows 10,1.26,1483.0,Unknown,2,3,3,3,1,2,3
813,Dell,Gaming,17.3,32,Windows 10,4.36,3659.4,Dedicated,6,3,4,4,2,7,3
1000,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,789.01,Unknown,2,3,1,3,1,2,3
110,HP,Notebook,15.6,8,Windows 10,2.04,806.0,Unknown,2,2,1,1,1,2,1
399,Acer,Notebook,15.6,4,Linux,2.4,441.8,Unknown,0,2,1,1,1,2,1
636,Lenovo,Notebook,15.6,8,No OS,2.2,709.0,Dedicated,2,3,3,3,2,1,1
1264,HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,Unknown,2,2,3,3,1,2,3
318,Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,Dedicated,2,3,4,4,2,3,3
172,Acer,2 in 1 Convertible,14.0,8,Windows 10,1.2,1149.0,Unknown,2,3,4,5,1,4,3
293,Acer,Notebook,15.6,8,Windows 10,3.0,951.0,Dedicated,2,3,2,2,2,2,3
138,Lenovo,2 in 1 Convertible,14.0,8,Windows 7,1.8,2050.38,Dedicated,2,3,4,5,2,5,3
747,MSI,Gaming,15.6,8,Windows 10,2.3,1169.0,Dedicated,2,3,4,4,2,2,3
801,Lenovo,Notebook,14.0,16,Windows 7,1.1,2620.0,Unknown,6,3,4,5,1,2,3
45,Dell,Ultrabook,14.0,8,Windows 10,1.36,1680.0,Unknown,2,3,4,4,1,0,3
1262,Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,Unknown,0,1,0,0,1,2,3
923,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,Unknown,2,2,2,2,1,2,3
879,Acer,Notebook,17.3,8,Windows 10,3.3,629.0,Dedicated,1,1,0,0,2,1,1
931,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1590.0,Unknown,2,2,2,2,1,2,3
730,Asus,Gaming,15.6,8,Windows 10,2.2,1169.0,Dedicated,2,3,4,4,2,4,1
55,Asus,Notebook,15.6,8,Linux,2.3,597.0,Dedicated,2,1,1,0,2,1,1
373,HP,2 in 1 Convertible,13.3,8,Windows 10,1.48,2041.0,Unknown,6,3,4,5,1,2,3
603,Lenovo,Notebook,15.6,6,Windows 10,2.2,789.0,Dedicated,2,3,3,3,2,1,3
197,Toshiba,Notebook,13.3,8,Windows 10,1.05,1475.0,Unknown,2,2,1,1,1,2,3
599,Asus,Gaming,17.3,8,Windows 10,3.2,1695.0,Dedicated,2,3,4,4,0,4,3
1258,Acer,Gaming,17.3,16,Windows 10,4.2,2299.0,Dedicated,2,3,4,4,2,4,3
682,HP,Notebook,14.0,4,Windows 10,1.63,722.0,Unknown,0,2,1,1,1,2,1
752,Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,Unknown,2,2,1,1,1,2,3
283,Mediacom,Notebook,13.3,4,Windows 10,1.35,255.0,Unknown,2,0,0,0,1,0,0
1205,Toshiba,Notebook,15.6,8,Windows 10,2.0,1388.0,Unknown,2,3,3,3,1,2,3
1237,Acer,Notebook,15.6,4,Linux,2.1,272.0,Unknown,0,0,0,0,1,0,1
28,Dell,2 in 1 Convertible,15.6,12,Windows 10,2.19,1299.0,Unknown,2,3,3,3,1,2,3
809,Dell,Notebook,15.6,8,Windows 10,2.13,767.8,Dedicated,2,3,2,2,0,1,3
1274,HP,Notebook,15.6,6,Windows 10,1.91,568.9,Dedicated,2,2,1,0,0,1,3
532,HP,Notebook,15.6,8,Windows 10,1.96,598.99,Unknown,2,2,1,1,1,2,3
1167,Razer,Gaming,14.0,16,Windows 10,1.95,3499.0,Dedicated,2,3,4,4,2,4,3
942,Lenovo,Notebook,15.6,8,Windows 10,2.3,911.0,Unknown,2,2,1,1,1,2,3
638,Acer,Notebook,15.6,6,Windows 10,2.1,479.0,Unknown,2,1,1,0,1,2,1
739,HP,Notebook,15.6,8,Windows 10,2.04,900.0,Dedicated,2,3,3,3,2,2,1
1181,Asus,Notebook,15.6,4,Windows 10,2.37,398.99,Unknown,0,1,1,0,1,2,1
109,Asus,Gaming,17.3,16,Windows 10,4.0,1900.0,Dedicated,2,3,4,4,2,5,3
1235,Dell,Notebook,15.6,8,Windows 10,2.18,713.99,Unknown,0,2,1,1,1,2,3
640,HP,Ultrabook,15.6,8,Windows 10,1.84,1296.99,Dedicated,2,3,1,3,0,3,3
319,Lenovo,Notebook,15.6,8,No OS,2.3,573.0,Unknown,2,2,1,1,1,2,3
1002,Asus,Notebook,14.0,2,Windows 10,1.65,199.0,Dedicated,0,0,0,0,0,0,0
132,Dell,Notebook,14.0,4,Windows 10,1.76,755.0,Unknown,0,2,2,2,1,2,1
560,HP,Netbook,11.6,2,Windows 10,1.17,209.0,Unknown,0,0,1,0,1,0,0
601,Asus,Notebook,15.6,4,Windows 10,1.86,419.0,Unknown,0,0,0,0,1,0,3
495,Dell,Gaming,17.3,32,Windows 10,4.42,3072.89,Dedicated,2,3,4,4,2,7,3
839,Asus,Gaming,15.6,16,Windows 10,2.5,1799.0,Dedicated,2,3,4,4,2,3,3
622,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,799.0,Unknown,2,2,1,1,1,2,3
619,Asus,Notebook,17.3,4,Windows 10,2.0,564.0,Dedicated,2,1,0,0,2,1,1
631,MSI,Gaming,14.0,16,Windows 10,1.6,1891.0,Dedicated,2,3,4,4,2,4,3
515,Lenovo,Notebook,17.3,8,No OS,2.8,698.0,Dedicated,1,2,1,1,2,2,3
869,LG,Ultrabook,15.6,8,Windows 10,1.09,2299.0,Unknown,2,3,2,2,1,2,3
1068,HP,Workstation,15.6,8,Windows 7,2.59,2229.0,Dedicated,2,3,4,4,2,6,3
99,Dell,Ultrabook,14.0,8,Windows 10,1.5,1962.98,Unknown,6,3,4,5,1,2,3
795,Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,Dedicated,0,0,0,0,0,0,3
408,Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,1499.0,Unknown,3,3,1,3,1,2,3
634,Asus,Gaming,17.3,24,Windows 10,4.33,1269.0,Dedicated,2,3,4,4,2,3,3
489,Acer,Notebook,15.6,4,Windows 10,2.1,400.0,Dedicated,0,1,0,0,0,0,1
544,MSI,Gaming,17.3,8,Windows 10,2.7,1409.0,Dedicated,2,3,4,4,2,4,3
853,Lenovo,Notebook,15.6,8,Windows 10,2.3,850.66,Unknown,2,2,1,1,1,2,1
15,Lenovo,Notebook,14.0,8,Windows 10,1.32,1650.0,Unknown,2,2,4,3,1,2,3
485,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,1649.0,Unknown,2,3,4,5,1,4,3
290,Asus,Notebook,15.6,4,Windows 10,2.0,304.0,Unknown,0,0,0,0,1,0,1
860,Acer,Notebook,15.6,12,Windows 10,2.2,693.99,Dedicated,0,2,1,1,2,1,1
1206,HP,Notebook,14.0,4,Windows 10,1.95,1060.0,Unknown,0,2,1,1,1,2,1
1174,Dell,Notebook,15.6,8,Windows 10,2.18,789.81,Dedicated,2,2,1,1,0,0,3
566,Dell,Notebook,15.6,4,Linux,2.18,465.0,Dedicated,0,1,0,0,0,0,1
227,Lenovo,Gaming,15.6,8,No OS,2.4,809.0,Dedicated,2,2,1,2,2,2,3
967,HP,Notebook,15.6,6,Windows 10,2.04,549.99,Dedicated,2,1,7,0,0,0,2
423,Dell,Notebook,14.0,4,Windows 10,1.76,585.0,Unknown,0,1,0,0,1,2,1
1221,Acer,Notebook,14.0,4,Windows 10,1.6,329.0,Unknown,2,0,0,0,1,0,0
1116,HP,Ultrabook,13.3,8,Windows 10,1.39,1149.0,Unknown,3,3,3,3,1,2,3
947,Asus,Notebook,15.6,8,Windows 10,2.0,399.0,Unknown,0,0,0,0,1,0,1
178,Lenovo,Ultrabook,14.0,8,Windows 10,1.17,1686.64,Unknown,6,3,1,3,1,2,3
580,Dell,Notebook,14.0,8,Linux,1.64,1089.0,Dedicated,2,2,4,2,2,2,3
370,Dell,Notebook,15.6,8,Windows 10,2.0,665.0,Unknown,0,1,0,0,1,2,3
291,Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,Unknown,3,2,4,4,1,4,3
652,Acer,Notebook,17.3,4,Windows 10,3.0,655.0,Dedicated,2,1,3,1,2,1,1
349,Lenovo,Ultrabook,14.0,12,Windows 7,1.4,2299.0,Unknown,2,3,4,5,1,2,3
23,Apple,Ultrabook,13.3,8,macOS,1.34,898.94,Unknown,2,2,2,2,1,2,0
956,Acer,Notebook,15.6,4,Windows 10,2.1,449.0,Unknown,0,1,0,0,1,2,3
996,HP,Notebook,17.3,8,Windows 10,2.65,544.15,Unknown,1,1,0,0,1,2,1
1296,Dell,Gaming,15.6,16,Windows 10,2.6,1349.0,Dedicated,2,3,4,4,2,3,3
482,Lenovo,Gaming,17.3,16,Windows 10,4.6,2749.99,Dedicated,2,3,3,7,2,7,3
650,Acer,Notebook,15.6,4,Linux,2.1,412.0,Unknown,0,1,0,0,1,2,3
624,Acer,Notebook,14.0,4,Windows 10,1.6,349.0,Unknown,0,0,1,0,1,0,0
888,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,Unknown,2,2,1,1,1,2,3
488,Acer,Notebook,14.0,2,Chrome OS,1.68,330.0,Unknown,0,0,1,0,1,0,0
1238,Dell,Notebook,15.6,4,Linux,2.3,598.9,Dedicated,2,2,1,1,0,0,3
154,Dell,Notebook,14.0,8,Windows 10,1.56,1229.0,Unknown,2,2,1,3,1,2,3
381,Asus,2 in 1 Convertible,12.5,4,Chrome OS,1.2,669.0,Unknown,2,3,1,1,1,3,0
