id,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,Resolution,Pantalla,Brand,Family,Model,Clock Speed (GHz),Gpu Brand,Gpu Model,Gpu Type,Storage Type,Componentes_principales
1214,HP,Notebook,14.0,8,Windows 10,1.48,1268.0,1920x1080,Full HD,Intel,Core i5,7300U,2.6,Intel,HD Graphics 620,Unknown,SSD,3.1780538303479458
1047,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
648,Lenovo,Notebook,15.6,4,No OS,2.2,479.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,AMD,Radeon R5 M430,Dedicated,HDD,1.791759469228055
34,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,2880x1800,Retina Display,Intel,Core i7,2.2GHz,2.2,Intel,Iris Pro Graphics,Unknown,Flash Storage,3.4965075614664802
804,HP,Notebook,14.0,4,Windows 7,1.54,1030.99,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD,2.6390573296152584
872,HP,Notebook,15.6,4,Windows 10,1.86,397.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
1297,HP,Notebook,15.6,8,Windows 7,1.88,1579.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.995732273553991
192,Dell,Notebook,15.6,8,Linux,1.98,726.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD,2.772588722239781
451,HP,Notebook,15.6,4,Windows 10,2.1,347.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,HDD,1.9459101490553132
894,Fujitsu,Notebook,15.6,4,Windows 10,2.3,649.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.772588722239781
961,Toshiba,Ultrabook,14.0,8,Windows 10,1.47,1725.0,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD,3.295836866004329
1168,Lenovo,Ultrabook,14.0,4,Windows 10,1.7,1096.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.772588722239781
966,Lenovo,Notebook,15.6,8,Windows 10,2.3,1529.0,1920x1080,Full HD,Intel,Core i7,6600U,2.6,Intel,HD Graphics 520,Unknown,SSD,3.295836866004329
794,Mediacom,Notebook,14.0,2,Windows 10,1.4,239.0,1920x1080,Full HD,Intel,Atom,x5-Z8350,1.44,Intel,HD Graphics,Unknown,Flash Storage,1.0986122886681098
763,Lenovo,Workstation,15.6,8,Windows 10,2.67,1925.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,Quadro M1200,Dedicated,SSD,3.4657359027997265
946,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
1298,Acer,Notebook,15.6,4,Windows 10,2.2,469.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Nvidia,GeForce GTX 940MX,Dedicated,HDD,1.791759469228055
715,Asus,Notebook,14.0,4,Windows 10,1.5,278.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,Flash Storage,1.6094379124341003
762,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD,2.995732273553991
1101,MSI,Gaming,15.6,8,Windows 10,2.2,1089.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD,2.9444389791664403
994,HP,Netbook,12.5,8,Windows 10,0.97,1908.0,1920x1080,Full HD,Intel,Core M,6Y75,1.2,Intel,HD Graphics 515,Unknown,SSD,3.295836866004329
528,Dell,Ultrabook,14.0,8,Linux,1.6,1099.0,1920x1080,Full HD,Intel,Core i7,7600U,2.8,Intel,HD Graphics 620,Unknown,SSD,3.258096538021482
926,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,1366x768,Full HD,Intel,Core i7,6500U,2.5,Nvidia,GeForce 920MX,Dedicated,HDD,2.833213344056216
791,HP,Notebook,15.6,4,No OS,1.86,345.99,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
351,Acer,Notebook,14.0,4,Chrome OS,1.68,349.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage,1.791759469228055
166,Dell,Notebook,15.6,8,Windows 7,2.09,1062.95,1920x1080,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD,2.9444389791664403
1196,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,1366x768,Full HD,Intel,Celeron,Dual,1.1,Intel,HD Graphics 500,Unknown,HDD,1.791759469228055
1056,Dell,Notebook,15.6,8,Windows 10,2.33,844.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,AMD,Radeon 530,Dedicated,SSD,2.772588722239781
909,Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,3840x2160,4K Ultra HD,Intel,Core i7,7820HK,2.9,Nvidia,GeForce GTX 1080,Dedicated,SSD,4.219507705176107
1189,Lenovo,Notebook,15.6,4,Windows 10,2.2,349.0,1366x768,Full HD,AMD,E-Series,E2-9000,2.2,AMD,Radeon R2 Graphics,Dedicated,SSD,2.0794415416798357
654,MSI,Gaming,17.3,16,Windows 10,3.78,2499.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD,3.7376696182833684
968,Lenovo,Notebook,15.6,4,Windows 10,2.2,535.0,1920x1080,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD,2.6390573296152584
1027,HP,Ultrabook,12.5,8,Windows 7,1.26,2296.95,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD,2.995732273553991
217,Lenovo,Netbook,11.6,4,Windows 10,1.4,475.0,1366x768,Touchscreen,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,SSD,2.1972245773362196
1224,Lenovo,Ultrabook,12.5,8,Windows 10,1.36,1584.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.091042453358316
559,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Nvidia,GeForce 150MX,Dedicated,SSD,3.4011973816621555
136,Dell,Ultrabook,13.3,8,Windows 10,1.29,899.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
420,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,HDD,2.8903717578961645
54,Toshiba,Ultrabook,13.3,32,Windows 10,1.05,2799.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.828641396489095
788,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,1366x768,Full HD,AMD,A9-Series,9420,3.0,AMD,Radeon R5,Dedicated,SSD,2.0794415416798357
628,HP,Notebook,15.6,8,Windows 10,2.2,1099.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1050,Dedicated,SSD,2.9444389791664403
1215,Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD,2.995732273553991
396,Lenovo,Notebook,15.6,4,No OS,1.9,339.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
1083,Asus,Notebook,15.6,4,Windows 10,2.2,369.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics,Unknown,HDD,1.9459101490553132
20,HP,2 in 1 Convertible,13.3,8,Windows 10,1.28,2277.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
1263,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD,3.332204510175204
258,Dell,Gaming,15.6,8,Linux,2.62,929.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050Ti,Dedicated,HDD,3.2188758248682006
159,Dell,Notebook,15.6,4,Windows 10,2.18,558.6,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
572,Lenovo,Gaming,15.6,16,Windows 10,2.5,999.0,1920x1080,Full HD,AMD,FX,8800P,2.1,AMD,Radeon R9 M385,Dedicated,SSD,3.1780538303479458
374,Toshiba,Notebook,15.6,8,Windows 10,2.0,860.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,HDD,2.772588722239781
25,HP,Ultrabook,12.5,8,Windows 7,1.26,1895.0,1366x768,Full HD,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD,2.9444389791664403
345,Lenovo,Gaming,15.6,4,Windows 10,2.4,999.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,HDD,3.044522437723423
827,Dell,Netbook,11.6,4,Windows 10,1.63,744.0,1366x768,Full HD,Intel,Pentium,Quad,1.1,Intel,HD Graphics 505,Unknown,SSD,2.0794415416798357
661,HP,Notebook,15.6,8,Windows 10,2.04,889.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce 930MX,Dedicated,SSD,2.9444389791664403
102,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,2025.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.091042453358316
185,Asus,Gaming,17.3,8,Windows 10,2.73,1770.0,1920x1080,Full HD,Intel,Core i5,7300HQ,2.5,Nvidia,GeForce GTX 1060,Dedicated,SSD,3.091042453358316
69,Asus,Notebook,17.3,8,Windows 10,2.69,891.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Nvidia,GeForce GTX 950M,Dedicated,SSD,2.8903717578961645
327,MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1060,Dedicated,SSD,3.6375861597263857
439,Acer,Netbook,11.6,4,Chrome OS,1.25,297.0,1366x768,Full HD,Intel,Celeron,Dual,1.6,Intel,HD Graphics 400,Unknown,Flash Storage,1.791759469228055
662,MSI,Gaming,17.3,16,Windows 10,4.14,2499.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD,3.7376696182833684
799,Asus,Notebook,15.6,4,Windows 10,2.2,575.0,1920x1080,Full HD,AMD,A10-Series,A10-9620P,2.5,AMD,Radeon R5 M430,Dedicated,SSD,2.302585092994046
555,HP,Notebook,15.6,4,Windows 10,2.1,722.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,HD Graphics 620,Unknown,HDD,2.3978952727983707
40,Toshiba,Notebook,14.0,4,Windows 10,1.75,1020.0,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,SSD,2.772588722239781
1110,Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,1499.0,3200x1800,Quad HD+,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD,3.332204510175204
998,HP,Ultrabook,14.0,8,Windows 10,1.36,1750.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.091042453358316
500,MSI,Gaming,17.3,8,Windows 10,2.9,1511.19,1920x1080,Full HD,Intel,Core i7,6700HQ,2.6,Nvidia,GeForce GTX 960M,Dedicated,SSD,3.258096538021482
734,Dell,Ultrabook,13.3,8,Windows 10,1.23,1869.0,3200x1800,Quad HD+,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD,2.833213344056216
974,Lenovo,Notebook,14.0,8,Windows 10,1.7,1364.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
117,HP,2 in 1 Convertible,13.3,4,Windows 10,1.28,1799.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.6390573296152584
392,HP,Notebook,15.6,4,Windows 10,2.04,769.99,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD,2.3978952727983707
1060,Dell,Notebook,15.6,16,Windows 10,2.2,1219.24,1920x1080,Full HD,Intel,Core i7,8550U,1.8,AMD,Radeon 530,Dedicated,SSD,3.295836866004329
613,Asus,Notebook,15.6,8,Windows 10,2.37,1099.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
711,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,1920x1080,Full HD,Intel,Core i7,8550U,1.8,Intel,UHD Graphics 620,Unknown,SSD,2.995732273553991
1245,Dell,Notebook,15.6,4,Windows 10,2.18,547.0,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD,2.3978952727983707
639,Asus,Ultrabook,14.0,8,Windows 10,1.1,1873.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.091042453358316
9,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Nvidia,GeForce MX150,Dedicated,SSD,2.5649493574615367
1213,Lenovo,Notebook,15.6,4,No OS,1.9,450.0,1366x768,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
535,Dell,Gaming,15.6,8,Windows 10,2.62,1159.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,Dedicated,SSD,3.332204510175204
155,Dell,Ultrabook,13.3,8,Linux,1.23,1099.0,3200x1800,Quad HD+,Intel,Core i5,6300U,2.4,Intel,HD Graphics 520,Unknown,SSD,2.9444389791664403
1074,HP,Notebook,17.3,8,Windows 10,2.63,1280.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Nvidia,GeForce 930MX,Dedicated,HDD,3.044522437723423
472,Dell,2 in 1 Convertible,11.6,4,Windows 10,1.39,603.0,1366x768,Touchscreen,Intel,Core M,7Y30,1.0,Intel,HD Graphics 615,Unknown,SSD,2.70805020110221
47,Lenovo,Notebook,17.3,4,No OS,2.8,529.0,1920x1080,Full HD,Intel,Core i3,6006U,2.0,Intel,HD Graphics 520,Unknown,HDD,2.0794415416798357
5,HP,Notebook,17.3,8,Windows 10,2.5,928.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,SSD,2.833213344056216
466,Asus,Notebook,15.6,4,Windows 10,2.0,435.0,1366x768,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,HDD,2.1972245773362196
712,HP,Notebook,14.0,8,Windows 10,1.63,812.0,1920x1080,Full HD,Intel,Core i5,8250U,1.6,Intel,UHD Graphics 620,Unknown,HDD,2.70805020110221
212,Acer,Notebook,14.0,8,Windows 10,1.5,619.0,1920x1080,Full HD,Intel,Core i3,7100U,2.4,Intel,HD Graphics 620,Unknown,SSD,2.70805020110221
1067,HP,Notebook,15.6,8,No OS,1.86,575.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
785,HP,Notebook,15.6,8,Windows 10,2.04,389.0,1366x768,Full HD,Intel,Pentium,Quad,1.6,Intel,HD Graphics 405,Unknown,HDD,2.3978952727983707
332,Dell,Notebook,15.6,8,Windows 10,1.95,810.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
1199,MSI,Gaming,15.6,16,Windows 10,2.94,2267.86,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD,3.7376696182833684
412,Dell,Notebook,15.6,8,Windows 10,2.0,1829.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD,3.295836866004329
200,HP,Ultrabook,14.0,8,Windows 10,1.43,1500.0,1920x1080,Full HD,Intel,Core i7,6500U,2.5,Intel,HD Graphics 520,Unknown,SSD,2.995732273553991
509,Toshiba,Notebook,15.6,8,Windows 10,2.0,943.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
411,MSI,Gaming,15.6,8,Windows 10,2.2,1149.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD,3.295836866004329
627,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1950.0,1920x1080,Full HD,Intel,Core i7,7500U,2.7,Intel,HD Graphics 620,Unknown,SSD,3.091042453358316
1088,Lenovo,Notebook,15.6,12,Windows 10,2.2,899.0,1920x1080,Full HD,AMD,A12-Series,9720P,3.6,AMD,Radeon 530,Dedicated,HDD,2.70805020110221
881,Dell,Notebook,15.6,4,Windows 10,1.95,729.9,1366x768,Full HD,Intel,Core i5,6200U,2.3,Intel,HD Graphics 520,Unknown,HDD,2.6390573296152584
914,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,1899.0,3200x1800,Quad HD+,Intel,Core i7,7Y75,1.3,Intel,HD Graphics 615,Unknown,SSD,3.6375861597263857
690,Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,1366x768,Full HD,Intel,Core i5,7200U,2.5,Intel,HD Graphics 620,Unknown,SSD,2.8903717578961645
111,HP,Notebook,15.6,8,Windows 10,1.9,1154.0,1920x1080,Full HD,Intel,Core i5,7200U,2.5,AMD,FirePro W4190M,Dedicated,HDD,2.8903717578961645
26,HP,Notebook,15.6,8,Windows 10,2.04,979.0,1920x1080,Full HD,Intel,Core i5,7200U,2.7,Nvidia,GeForce 930MX,Dedicated,SSD,3.044522437723423
375,Dell,Gaming,17.3,16,Windows 10,4.42,2699.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1070,Dedicated,SSD,3.7376696182833684
289,HP,Notebook,15.6,12,Windows 10,2.21,1327.0,1920x1080,Full HD,Intel,Core i7,7700HQ,2.8,Nvidia,GeForce GTX 1050,Dedicated,SSD,3.4339872044851463
