id,Inches,Ram,Weight,Price_euros,Resolution_disc,Pantalla_disc,Family_disc,Clock_speed_disc,Modelo_procesador_disc,Gpu_Brand_disc,GPU_model_disc,storage_type_disc
451,15.6,4,2.1,347.0,0,1,0,1,0,1,0,1
894,15.6,4,2.3,649.0,0,1,2,3,3,1,2,3
961,14.0,8,1.47,1725.0,3,1,3,6,7,1,2,3
1168,14.0,4,1.7,1096.0,3,1,2,3,3,1,2,3
966,15.6,8,2.3,1529.0,3,1,3,6,7,1,2,3
794,14.0,2,1.4,239.0,3,1,0,0,0,1,0,0
763,15.6,8,2.67,1925.0,3,1,3,6,6,2,8,3
946,15.6,4,1.85,414.9,3,1,1,0,0,1,2,1
1298,15.6,4,2.2,469.0,0,1,1,0,0,2,0,1
715,14.0,4,1.5,278.0,0,1,0,0,0,1,0,0
762,13.3,8,1.2,1449.0,3,1,3,3,3,1,2,3
1101,15.6,8,2.2,1089.0,3,1,2,2,2,2,3,3
994,12.5,8,0.97,1908.0,3,1,3,4,7,1,4,3
528,14.0,8,1.6,1099.0,3,1,3,6,6,1,2,3
926,15.6,8,2.2,629.0,0,1,3,2,4,2,1,1
791,15.6,4,1.86,345.99,0,1,1,0,0,1,2,1
351,14.0,4,1.68,349.0,0,1,0,1,0,1,0,0
166,15.6,8,2.09,1062.95,3,1,2,1,4,1,2,3
1196,15.6,4,2.1,348.0,0,1,0,0,0,1,0,1
1056,15.6,8,2.33,844.0,3,1,2,1,2,0,1,3
909,17.3,32,3.49,6099.0,9,4,3,10,10,2,12,3
1189,15.6,4,2.2,349.0,0,1,0,0,0,0,0,3
654,17.3,16,3.78,2499.0,3,1,3,6,6,2,10,3
968,15.6,4,2.2,535.0,3,1,2,3,3,1,2,1
1027,12.5,8,1.26,2296.95,3,1,3,2,4,1,2,3
217,11.6,4,1.4,475.0,0,0,0,1,0,1,0,3
1224,12.5,8,1.36,1584.0,3,1,3,4,4,1,2,3
559,17.3,16,2.77,1549.0,3,1,3,3,3,2,4,3
136,13.3,8,1.29,899.0,3,1,2,2,2,1,2,3
420,13.3,8,1.62,839.0,3,1,3,3,3,1,2,1
54,13.3,32,1.05,2799.0,3,1,3,4,4,1,2,3
788,15.6,4,2.1,451.0,0,1,1,0,0,0,0,3
628,15.6,8,2.2,1099.0,3,1,2,2,2,2,3,3
1215,15.6,8,2.05,880.0,3,1,3,3,3,1,2,3
396,15.6,4,1.9,339.0,0,1,1,0,0,1,2,1
1083,15.6,4,2.2,369.0,0,1,0,1,0,1,0,1
20,13.3,8,1.28,2277.0,3,1,2,2,2,1,2,3
1263,13.3,16,1.49,1197.0,3,1,3,3,3,1,2,3
258,15.6,8,2.62,929.0,3,1,3,6,6,2,3,1
159,15.6,4,2.18,558.6,0,1,1,0,0,1,2,1
572,15.6,16,2.5,999.0,3,1,2,0,2,0,2,3
374,15.6,8,2.0,860.0,3,1,2,2,2,1,2,1
25,12.5,8,1.26,1895.0,0,1,2,1,4,1,2,3
345,15.6,4,2.4,999.0,3,1,3,6,6,2,3,1
827,11.6,4,1.63,744.0,0,1,0,0,0,1,0,3
661,15.6,8,2.04,889.0,3,1,2,2,2,2,3,3
102,13.3,8,1.37,2025.0,3,1,3,4,4,1,2,3
185,17.3,8,2.73,1770.0,3,1,2,2,2,2,6,3
69,17.3,8,2.69,891.0,3,1,2,2,2,2,2,3
327,15.6,16,2.4,1799.0,3,1,3,6,6,2,6,3
439,11.6,4,1.25,297.0,0,1,0,1,0,1,0,0
662,17.3,16,4.14,2499.0,3,1,3,6,6,2,10,3
799,15.6,4,2.2,575.0,3,1,2,2,0,0,0,3
555,15.6,4,2.1,722.0,3,1,2,1,2,1,2,1
40,14.0,4,1.75,1020.0,0,1,2,3,3,1,2,3
1110,13.3,16,1.3,1499.0,5,2,3,2,4,1,2,3
998,14.0,8,1.36,1750.0,3,1,3,4,4,1,2,3
500,17.3,8,2.9,1511.19,3,1,3,6,5,2,3,3
734,13.3,8,1.23,1869.0,5,2,2,1,2,1,2,3
974,14.0,8,1.7,1364.0,3,1,2,2,2,1,2,3
117,13.3,4,1.28,1799.0,3,1,2,2,2,1,2,3
392,15.6,4,2.04,769.99,0,1,1,1,0,1,2,3
1060,15.6,16,2.2,1219.24,3,1,3,3,3,0,1,3
613,15.6,8,2.37,1099.0,3,1,2,2,2,1,2,3
711,14.0,8,1.63,1084.0,3,1,3,3,3,1,2,3
1245,15.6,4,2.18,547.0,0,1,1,1,0,1,2,3
639,14.0,8,1.1,1873.0,3,1,3,4,4,1,2,3
9,17.3,4,3.0,805.0,3,1,2,1,2,2,2,3
1213,15.6,4,1.9,450.0,0,1,1,0,0,1,2,1
535,15.6,8,2.62,1159.0,3,1,3,6,6,2,4,3
155,13.3,8,1.23,1099.0,5,2,2,1,4,1,2,3
1074,17.3,8,2.63,1280.0,3,1,3,4,4,2,3,1
472,11.6,4,1.39,603.0,0,0,3,1,1,1,5,3
47,17.3,4,2.8,529.0,3,1,1,0,0,1,2,1
5,17.3,8,2.5,928.0,3,1,2,1,2,1,2,3
466,15.6,4,2.0,435.0,0,1,1,1,0,1,2,1
712,14.0,8,1.63,812.0,3,1,2,1,2,1,2,1
212,14.0,8,1.5,619.0,3,1,1,1,0,1,2,3
1067,15.6,8,1.86,575.0,3,1,2,2,2,1,2,3
785,15.6,8,2.04,389.0,0,1,0,1,0,1,0,1
332,15.6,8,1.95,810.0,0,1,2,2,2,1,2,3
1199,15.6,16,2.94,2267.86,3,1,3,6,6,2,10,3
412,15.6,8,2.0,1829.0,3,1,3,6,6,2,3,3
200,14.0,8,1.43,1500.0,3,1,3,2,4,1,2,3
509,15.6,8,2.0,943.0,3,1,2,2,2,1,2,3
411,15.6,8,2.2,1149.0,3,1,3,6,6,2,3,3
627,13.3,8,1.37,1950.0,3,1,3,4,4,1,2,3
1088,15.6,12,2.2,899.0,3,1,2,0,0,0,1,1
881,15.6,4,1.95,729.9,0,1,2,3,3,1,2,1
914,13.3,16,1.22,1899.0,5,2,3,6,7,1,5,3
690,15.6,8,2.0,793.0,0,1,2,2,2,1,2,3
111,15.6,8,1.9,1154.0,3,1,2,2,2,0,4,1
26,15.6,8,2.04,979.0,3,1,2,4,2,2,3,3
375,17.3,16,4.42,2699.0,3,1,3,6,6,2,10,3
289,15.6,12,2.21,1327.0,3,1,3,6,6,2,3,3
1007,13.3,4,1.32,699.0,3,1,2,2,2,1,2,3
476,10.1,4,0.69,479.0,0,0,0,0,0,1,0,0
475,14.0,8,1.4,941.0,3,1,2,1,2,1,2,3
125,15.6,8,2.5,879.0,3,1,3,6,6,2,3,3
1154,14.0,8,1.54,1468.0,3,1,3,2,4,1,2,3
1184,15.6,8,2.6,1738.27,3,1,3,6,6,2,8,3
322,15.6,8,2.2,739.0,0,1,2,2,2,1,2,1
280,15.0,16,1.23,1849.0,3,1,3,4,4,2,2,3
63,15.6,8,2.2,629.0,3,1,2,2,2,2,2,3
547,15.6,16,2.1,1899.0,3,1,3,6,6,2,6,3
1293,13.3,4,1.45,459.9,0,1,0,1,0,1,0,0
536,15.6,4,2.1,390.0,0,1,1,0,0,1,2,1
687,15.6,4,1.9,498.0,0,1,2,2,2,1,2,3
1023,15.6,8,2.2,599.9,3,1,3,4,4,0,0,1
210,15.6,4,2.1,398.0,3,1,0,2,0,0,0,1
657,15.6,8,1.9,1008.52,0,1,2,6,4,1,2,1
671,15.6,8,2.3,1655.0,3,1,3,6,6,2,6,3
194,15.6,4,2.3,977.0,3,1,2,3,3,2,2,1
672,14.0,8,1.48,1292.0,3,1,3,4,4,1,2,3
1152,15.6,4,2.23,619.0,0,1,2,2,2,1,2,1
201,17.3,16,2.8,1890.0,3,1,3,6,6,2,6,3
792,14.0,8,2.1,389.0,0,1,1,0,0,1,2,1
306,14.0,16,1.14,2450.0,3,1,3,4,4,1,2,3
828,15.6,16,2.3,859.01,3,1,3,4,4,0,2,1
1055,12.5,8,1.26,1483.0,3,1,3,4,4,1,2,3
813,17.3,32,4.36,3659.4,9,4,3,6,6,2,10,3
1000,13.3,8,1.6,789.01,3,1,3,2,4,1,2,3
110,15.6,8,2.04,806.0,3,1,2,2,2,1,2,1
399,15.6,4,2.4,441.8,0,1,2,2,2,1,2,1
636,15.6,8,2.2,709.0,3,1,3,4,4,2,2,1
1264,14.0,4,1.48,1082.0,3,1,2,4,4,1,2,3
318,15.6,16,2.5,1079.0,3,1,3,6,6,2,4,3
172,14.0,8,1.2,1149.0,3,1,3,6,7,1,5,3
293,15.6,8,3.0,951.0,3,1,3,3,3,2,2,3
138,14.0,8,1.8,2050.38,3,1,3,6,7,2,8,3
747,15.6,8,2.3,1169.0,3,1,3,6,5,2,3,3
801,14.0,16,1.1,2620.0,9,1,3,6,7,1,2,3
45,14.0,8,1.36,1680.0,3,1,3,6,6,1,0,3
1262,15.6,8,2.2,589.0,0,1,1,0,0,1,2,3
923,13.3,8,1.6,689.0,3,1,2,3,3,1,2,3
879,17.3,8,3.3,629.0,1,1,1,0,0,2,2,1
931,13.3,8,1.2,1590.0,3,1,2,3,3,1,2,3
730,15.6,8,2.2,1169.0,3,1,3,6,5,2,6,1
55,15.6,8,2.3,597.0,3,1,1,1,0,2,2,1
373,13.3,8,1.48,2041.0,9,0,3,6,7,1,2,3
603,15.6,6,2.2,789.0,3,1,3,4,4,2,2,3
197,13.3,8,1.05,1475.0,3,1,2,2,2,1,2,3
599,17.3,8,3.2,1695.0,3,1,3,6,6,0,5,3
1258,17.3,16,4.2,2299.0,3,1,3,6,6,2,6,3
682,14.0,4,1.63,722.0,0,1,2,1,2,1,2,1
752,14.0,8,1.6,770.0,3,1,2,1,2,1,2,3
283,13.3,4,1.35,255.0,3,1,0,0,0,1,0,0
1205,15.6,8,2.0,1388.0,3,1,3,4,4,1,2,3
1237,15.6,4,2.1,272.0,0,1,0,0,0,1,0,1
28,15.6,12,2.19,1299.0,3,1,3,4,4,1,2,3
809,15.6,8,2.13,767.8,3,1,3,3,3,0,1,3
1274,15.6,6,1.91,568.9,3,1,2,2,0,0,1,3
532,15.6,8,1.96,598.99,3,1,2,2,2,1,2,3
1167,14.0,16,1.95,3499.0,3,1,3,6,6,2,6,3
942,15.6,8,2.3,911.0,3,1,2,2,2,1,2,3
638,15.6,6,2.1,479.0,3,1,1,1,0,1,2,1
739,15.6,8,2.04,900.0,3,1,3,4,4,2,3,1
1181,15.6,4,2.37,398.99,0,1,1,1,0,1,2,1
109,17.3,16,4.0,1900.0,3,1,3,6,5,2,8,3
1235,15.6,8,2.18,713.99,0,1,2,2,2,1,2,3
640,15.6,8,1.84,1296.99,3,1,3,2,4,0,4,3
319,15.6,8,2.3,573.0,3,1,2,2,2,1,2,3
1002,14.0,2,1.65,199.0,0,1,0,0,0,0,0,0
132,14.0,4,1.76,755.0,0,1,2,3,3,1,2,1
560,11.6,2,1.17,209.0,0,1,0,1,0,1,0,0
601,15.6,4,1.86,419.0,0,1,0,0,0,1,0,3
495,17.3,32,4.42,3072.89,3,1,3,6,6,2,10,3
839,15.6,16,2.5,1799.0,3,1,3,6,6,2,4,3
622,15.6,8,2.67,799.0,3,1,2,1,2,1,2,3
619,17.3,4,2.0,564.0,3,1,1,0,0,2,1,1
631,14.0,16,1.6,1891.0,3,1,3,6,6,2,6,3
515,17.3,8,2.8,698.0,1,1,2,1,2,2,2,3
869,15.6,8,1.09,2299.0,3,1,3,3,3,1,2,3
1068,15.6,8,2.59,2229.0,3,1,3,6,5,2,9,3
99,14.0,8,1.5,1962.98,9,0,3,6,7,1,2,3
795,14.0,4,1.65,277.99,0,1,0,0,0,0,0,3
408,13.3,16,1.3,1499.0,5,2,3,2,4,1,2,3
634,17.3,24,4.33,1269.0,3,1,3,6,5,2,4,3
489,15.6,4,2.1,400.0,0,1,1,0,0,0,0,1
544,17.3,8,2.7,1409.0,3,1,3,6,6,2,6,3
853,15.6,8,2.3,850.66,3,1,2,2,2,1,2,1
15,14.0,8,1.32,1650.0,3,1,2,6,4,1,2,3
485,13.3,16,1.22,1649.0,3,1,3,6,7,1,5,3
290,15.6,4,2.0,304.0,0,1,0,0,0,1,0,1
860,15.6,12,2.2,693.99,0,1,2,1,2,2,1,1
1206,14.0,4,1.95,1060.0,0,1,2,2,2,1,2,1
1174,15.6,8,2.18,789.81,3,1,2,2,2,0,0,3
566,15.6,4,2.18,465.0,0,1,1,0,0,0,0,1
227,15.6,8,2.4,809.0,3,1,2,2,2,2,3,3
967,15.6,6,2.04,549.99,3,1,1,10,0,0,0,2
423,14.0,4,1.76,585.0,0,1,1,0,0,1,2,1
1221,14.0,4,1.6,329.0,3,1,0,0,0,1,0,0
1116,13.3,8,1.39,1149.0,5,2,3,4,4,1,2,3
947,15.6,8,2.0,399.0,0,1,0,0,0,1,0,1
178,14.0,8,1.17,1686.64,9,2,3,2,4,1,2,3
580,14.0,8,1.64,1089.0,3,1,2,6,3,2,3,3
370,15.6,8,2.0,665.0,0,1,1,0,0,1,2,3
291,12.0,8,0.92,1510.0,4,3,2,6,5,1,5,3
652,17.3,4,3.0,655.0,3,1,1,4,1,2,1,1
349,14.0,12,1.4,2299.0,3,1,3,6,7,1,2,3
23,13.3,8,1.34,898.94,3,1,2,3,3,1,2,0
956,15.6,4,2.1,449.0,0,1,1,0,0,1,2,3
996,17.3,8,2.65,544.15,1,1,1,0,0,1,2,1
1296,15.6,16,2.6,1349.0,3,1,3,6,6,2,4,3
482,17.3,16,4.6,2749.99,3,1,3,4,10,2,10,3
650,15.6,4,2.1,412.0,0,1,1,0,0,1,2,3
624,14.0,4,1.6,349.0,0,1,0,1,0,1,0,0
888,13.3,8,1.26,1398.99,3,1,2,1,2,1,2,3
488,14.0,2,1.68,330.0,0,1,0,1,0,1,0,0
1238,15.6,4,2.3,598.9,3,1,2,2,2,0,0,3
154,14.0,8,1.56,1229.0,3,1,2,1,4,1,2,3
381,12.5,4,1.2,669.0,3,1,3,1,1,1,4,0
512,14.0,8,1.13,2049.0,3,1,3,4,4,1,2,0
494,15.6,16,2.5,2370.0,9,4,3,4,9,2,11,3
742,15.6,4,2.08,795.99,3,1,1,3,1,1,2,1
61,17.3,8,2.8,1085.0,3,1,2,1,2,0,1,3
907,15.6,8,2.09,1046.44,3,1,2,1,4,1,2,1
308,17.3,16,4.14,2199.0,3,1,3,4,10,2,8,3
72,15.6,4,2.2,369.0,0,1,0,1,0,1,0,1
454,15.6,8,2.2,675.0,3,1,2,1,2,0,1,1
978,17.3,16,2.43,2649.0,9,4,3,6,5,2,6,3
581,14.0,4,1.45,389.0,3,1,0,0,0,1,0,3
1192,13.3,8,1.37,2040.0,7,3,2,8,7,1,7,3
1268,14.0,8,1.75,1215.38,3,1,3,3,3,0,3,3
1160,13.3,8,1.37,1757.42,3,1,3,4,4,1,2,3
1040,15.6,4,2.38,1055.0,0,1,2,2,2,1,2,1
658,15.6,8,1.93,1369.0,3,1,3,6,6,2,3,3
1018,15.6,4,2.1,867.0,3,1,2,3,3,1,2,3
531,15.6,16,2.4,1129.0,3,1,3,6,6,2,4,3
723,12.5,8,1.6,1690.0,3,1,3,6,6,1,2,3
1077,15.6,8,2.3,819.0,3,1,2,2,2,2,2,3
877,13.3,8,1.2,729.0,3,1,3,1,1,1,4,3
645,15.6,4,1.86,488.69,0,1,2,2,2,1,2,1
342,15.6,4,1.86,469.0,3,1,1,0,0,1,2,1
426,17.3,16,4.14,2729.0,3,1,3,10,10,2,10,3
753,14.0,8,1.8,1191.0,3,1,2,3,3,1,2,3
261,13.5,8,1.252,1867.85,4,0,3,6,6,1,5,3
395,12.0,8,0.92,1165.0,4,3,3,4,4,1,3,0
766,15.6,4,1.9,489.9,0,1,2,2,2,1,2,1
209,15.0,4,2.08,509.0,3,1,1,1,0,1,2,1
1138,14.0,8,1.54,2198.19,9,1,3,2,4,1,2,3
64,14.0,8,1.96,1903.0,3,1,3,6,6,2,3,3
1161,13.3,6,1.5,639.01,3,1,2,2,2,1,2,1
366,13.3,8,1.16,1690.0,3,1,2,3,3,1,2,3
92,15.6,4,2.4,387.0,0,1,1,0,0,0,0,1
50,12.5,8,1.09,3100.0,9,4,3,4,7,1,4,3
656,13.3,8,1.2,1095.0,0,1,2,3,3,1,2,3
606,14.0,2,1.5,229.0,0,1,0,1,0,1,0,0
503,15.6,4,2.32,825.0,3,1,3,2,4,1,2,2
1288,15.6,4,2.18,684.99,0,1,2,2,2,0,0,1
1193,14.0,4,1.8,638.0,3,1,3,2,4,1,2,3
188,13.3,8,1.2,1213.0,3,1,2,3,3,1,2,3
945,13.3,8,1.24,1899.0,3,1,2,4,5,1,5,3
1024,15.6,4,1.86,438.69,0,1,1,0,0,0,1,1
53,17.3,4,2.5,699.0,3,1,1,0,0,0,1,3
981,15.6,8,2.2,899.0,3,1,3,4,4,2,1,1
1282,15.6,16,2.6,1029.0,3,1,3,6,5,2,3,3
721,15.6,6,2.1,529.0,3,1,2,4,0,0,1,1
441,15.6,4,2.18,521.86,0,1,2,2,2,1,2,1
1222,13.3,8,1.38,1119.0,3,1,3,4,4,2,2,3
992,15.6,8,2.18,1009.9,3,1,3,4,4,2,2,3
1271,11.6,2,1.1,275.0,0,0,0,0,0,1,0,0
546,15.6,4,2.2,369.0,0,1,0,1,0,1,0,1
541,14.0,8,1.43,1469.0,3,1,2,3,3,1,2,3
915,14.0,16,1.95,2599.0,3,1,3,6,6,2,6,3
543,13.3,8,1.37,1825.0,3,1,2,2,2,1,2,3
139,15.6,4,2.04,521.47,0,0,2,1,2,1,2,1
929,15.6,8,2.3,805.99,0,1,3,4,4,0,0,1
565,15.6,8,2.04,629.0,0,1,3,4,4,1,2,1
300,15.6,8,2.2,597.0,0,1,2,2,2,1,2,3
960,15.6,4,1.86,299.0,0,1,0,1,0,1,0,3
750,17.3,8,2.75,1399.0,3,1,2,3,3,2,4,3
362,15.6,4,2.37,849.9,0,1,3,4,4,1,2,3
808,13.3,16,1.36,1877.0,3,1,3,2,4,1,2,3
263,15.6,8,2.62,899.0,3,1,3,6,6,2,3,2
701,14.0,8,1.25,1535.0,3,1,2,2,2,1,2,3
549,11.6,4,1.4,269.0,0,1,0,1,0,1,0,0
530,17.3,4,2.8,470.34,0,1,0,0,0,2,1,1
1010,14.0,8,1.87,857.07,3,1,2,2,2,2,1,3
382,15.6,8,2.4,779.0,3,1,2,2,2,2,3,3
80,15.6,8,2.04,2250.68,9,4,2,3,3,2,9,3
939,15.6,8,2.62,985.0,3,1,2,2,2,2,3,3
789,14.0,8,1.64,1185.43,3,1,3,4,4,2,3,3
1239,15.6,8,2.3,1049.6,3,1,2,3,3,1,2,3
871,15.6,8,1.84,1304.0,3,1,3,4,4,1,2,3
218,12.5,4,1.26,1539.0,3,1,2,2,2,1,2,1
1182,15.6,8,1.88,1298.0,3,1,3,4,4,1,2,3
928,15.6,8,1.91,618.99,0,1,2,2,2,0,1,3
722,15.6,8,2.2,459.0,0,1,1,0,0,1,2,1
126,15.6,8,2.2,647.0,3,1,2,1,2,0,1,1
486,14.0,16,1.42,2509.0,9,0,3,4,4,1,2,3
1230,15.6,8,2.2,1043.0,3,1,3,2,4,2,5,3
823,15.6,8,2.0,1142.75,3,1,2,1,2,2,2,3
1300,15.6,8,2.36,638.8,3,1,2,2,2,0,2,1
1190,15.6,4,1.86,439.0,0,1,1,0,0,1,2,1
401,15.6,4,2.1,363.51,0,1,0,0,0,1,0,1
427,13.3,8,1.37,1339.69,7,3,2,3,5,1,5,3
990,12.5,8,0.99,1399.0,9,0,3,4,7,1,4,3
1043,15.6,8,1.98,961.0,3,1,3,4,4,2,3,1
720,17.3,16,2.4,2968.0,9,4,3,4,9,2,10,3
973,15.6,8,2.5,979.0,3,1,3,6,6,2,4,3
191,11.6,4,1.25,265.0,0,1,0,1,0,1,0,3
96,17.3,16,3.78,1498.0,3,1,3,6,6,2,3,3
1233,15.6,8,2.2,659.01,3,1,3,4,4,2,2,1
526,14.0,4,1.22,202.9,3,1,0,0,0,1,0,0
1122,15.6,8,3.2,1399.0,3,1,3,6,6,2,6,3
325,15.6,4,1.86,364.9,0,1,1,0,0,1,2,1
315,15.6,8,2.6,899.0,3,1,3,6,5,2,3,1
554,15.6,8,1.84,1389.0,3,1,3,4,4,1,2,3
902,15.6,8,1.88,2171.72,3,1,3,2,4,1,2,3
890,15.6,8,2.14,539.95,0,1,2,2,2,1,2,1
697,12.5,8,1.36,1429.0,3,1,2,2,2,1,2,3
709,15.6,16,2.2,2449.0,3,1,3,6,6,2,10,3
130,15.6,16,2.4,1294.0,3,1,3,6,6,2,3,3
972,13.3,8,1.6,999.0,3,1,2,1,2,1,2,3
333,17.3,32,4.42,3588.8,3,1,3,6,6,2,11,3
1142,15.6,4,2.3,585.0,3,1,2,2,2,0,0,1
934,13.3,16,1.29,2240.0,5,2,3,2,9,1,5,3
520,17.3,8,2.8,1142.0,3,1,3,3,3,0,1,3
1111,15.6,8,1.84,2103.34,3,1,2,1,4,1,2,3
256,14.0,8,2.0,1334.0,3,1,3,4,4,1,2,3
156,12.5,8,1.34,1670.0,3,1,2,2,2,1,2,3
305,15.6,8,2.2,812.0,0,1,3,2,4,2,5,1
169,15.6,4,2.2,209.0,0,1,0,0,0,1,0,3
1254,17.3,16,4.36,3154.0,9,4,3,6,6,2,10,3
1191,15.6,8,2.2,749.01,3,1,3,4,4,0,0,3
437,15.6,8,2.08,819.0,3,1,3,3,3,1,2,1
1177,14.0,16,2.8,2440.0,9,0,3,6,7,1,2,3
377,15.6,8,2.0,1820.0,3,1,3,6,6,2,3,3
667,13.3,8,1.44,960.0,3,1,2,2,2,1,2,3
616,17.3,8,3.14,1907.99,3,1,3,6,6,2,8,1
1103,12.3,8,1.1,1559.0,7,0,2,4,5,1,5,3
2,14.0,8,1.48,2089.0,3,1,3,4,4,1,2,3
583,17.3,8,2.7,1349.0,3,1,3,6,6,2,4,3
1257,14.0,8,1.7,1186.0,3,1,2,3,3,1,2,3
848,15.6,4,2.18,657.0,3,1,2,2,2,1,2,1
112,13.3,8,1.34,1158.7,3,1,2,3,3,1,2,0
1013,15.6,8,2.2,841.0,3,1,3,3,3,2,2,3
1203,15.6,4,2.0,559.0,3,1,2,2,2,1,2,3
1166,17.3,8,2.8,979.0,3,1,2,1,2,0,1,3
435,14.0,16,1.42,2824.0,9,0,3,4,4,1,2,3
633,14.0,4,1.5,298.0,3,1,0,0,0,1,0,0
43,15.6,8,1.86,639.0,3,1,2,2,2,1,2,1
825,13.3,4,1.05,1285.0,3,1,2,2,2,1,2,3
329,17.3,16,2.9,2122.0,3,1,3,6,6,2,10,3
602,15.6,8,1.95,1390.0,3,1,2,2,2,1,2,3
878,12.5,8,1.3,1099.0,0,1,2,3,3,1,2,3
70,17.3,8,3.4,2999.0,3,1,3,6,6,2,10,3
770,15.6,16,2.65,1349.0,3,1,3,6,6,2,4,3
965,15.6,8,1.98,895.01,3,1,3,4,4,2,3,3
570,14.0,4,1.45,375.0,0,1,0,1,0,1,0,0
282,14.0,2,1.5,229.0,0,1,0,1,0,1,0,0
7,15.6,8,1.9,1269.0,3,1,3,4,4,0,4,1
120,14.0,8,1.25,1099.0,3,1,3,3,3,1,2,3
189,15.6,16,2.2,1449.0,3,1,3,6,6,2,6,3
301,14.0,16,1.3,1495.0,3,1,3,3,3,2,2,3
490,15.6,4,1.86,393.9,0,1,2,2,2,1,2,1
913,15.6,8,2.3,805.99,0,1,3,4,4,0,0,1
296,14.0,4,1.63,699.0,3,1,1,1,0,2,2,3
1078,14.0,4,1.54,1099.99,3,1,2,3,3,1,2,3
577,15.6,4,2.24,769.15,0,1,2,3,3,0,1,1
452,10.1,4,0.69,549.0,0,0,0,0,0,1,0,0
841,12.5,8,1.26,1349.0,3,1,3,2,4,1,2,3
356,17.3,16,4.42,2799.0,9,1,3,10,10,2,10,3
267,15.6,8,2.2,499.0,0,1,1,0,0,2,1,3
425,15.6,4,1.96,500.0,0,1,0,1,0,1,0,1
465,15.6,8,2.0,2249.0,3,1,3,4,9,2,9,3
755,13.0,8,1.05,1349.0,4,1,2,2,2,1,2,3
754,15.6,16,3.2,1749.0,3,1,3,6,6,2,6,3
